name,price,bottle,type_wine,region,grapes,producer,wine_description,tasting_descr,tasting_view,tasting_bouquet,tasting_mouth,serving_storage_conditions,serve_temperature,food_pairing,alergens,alcohol_content,production,winemaking_info,vessel_material,aging_period,casks_age,casks_wood,more_winemaking_info,vineyards,type_agriculture,vineyard_age,soil_type,climate,orientation,surface,customer_reviews,customer_reviews_number,last_score_parker,last_score_penin,last_score_year,image,url,year,last_score_parker_num
Celler La Muntanya 2014,£18.50,,Red wine,Alicante ,"Monastrell, Garnacha, Garnacha Tintorera, Bonicaire",Celler La Muntanya ,"Aged on fine lees, each variety separately, for 6 months in French oak barrels.","A winery founded in 2004, as a wine and oil producing company, by Toni Boronat and Juan Cascant, with the collaboration of Adrià Pérez Ovejero and Marc Pérez Pérez (better known as Les Cousins in the Priorat).
Celler La Muntanya is by no means a conventional winery, as it does not own any vineyards, but gets its supplies through the Microviña initiative, whereby several families who are owners of small vineyards (some new ones, and others...",,,,,Serve between 16ºC and 18ºC,,Contains sulfites,15.0,,,,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/cemun14_anv800.png,https://www.vinissimus.com/en/wine/celler-la-muntanya/,2014.0,
Canalizo 2014,£30.40,,Red wine,Jumilla ,"Syrah, Monastrell, Tempranillo",Bodegas Carchelo,"The winery was founded in 1989 by Agapito Rico and Juan Sierva and has been instrumental in the renovation of Jumilla's fortunes as a wine-growing area ever since, due to the high quality of the wines produced and their ability to satisfy international markets. In fact, this has been the aim of Juan Sierva's children, since his sad death in 2007, to maintain the quality standard and export output which have earned this company its fine reputation.
Located 700 metres up, in the...",,Garnet / Intense / Ochre hues / Bright / Clean,Profound / Higly aromatic / Complex / Ageing notes / Balsamic notes / Spices / Fruit aromas / Ripe black fruit / Fresh,Good entry / Dry / Structured / Well-integrated wood / Flavoursome / Fruit-forward / Toasty notes / Lovely tannins / Good acidity,,16ºC,,Contains sulfites,14.5,,,Wood,24 months,French oak,,,,,,,,,,5.0,3,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/cnsyc14_anv800.png,https://www.vinissimus.com/en/wine/canalizo/,2014.0,
Rodrigo Méndez El Barredo 2016,£37.75,,Red wine,Wines without GI ,"Pinot Noir, Mencia",Bodegas y Viñedos Rodrigo Méndez,,,,,,,,,Contains sulfites,13.5,,,,,,,,,,,,,,,5.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/ebarr16_anv800.png,https://www.vinissimus.com/en/wine/rodrigo-mendez-el-barredo/,2016.0,
Mascún Garnacha Tinta 2015,£11.40,,Red wine,Somontano ,Garnacha,Bodegas Osca,,,Picota cherry red / Violet glints,Elegant / Balanced / Fruit aromas / Red fruit / Floral scents / Violets / Varietal notes,Fleshy / Full / Enveloping / Flavoursome / Long / Persistent,,18ºC,,Contains sulfites,14.5,,,,,,,,,,,,,,,4.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/mscgj15_anv800.png,https://www.vinissimus.com/en/wine/mascun-garnacha-tinta/,2015.0,
Adernats Temptació 2019,£11.00,,Red wine,Tarragona ,"Tempranillo, Merlot",Adernats,,,Ruby red / Intense / Violet glints / Abundant tears,Higly aromatic / Fruit aromas / Red fruit / Dried fruit and nuts / Hazelnuts / Caramel,Smooth / Warm / Elegant / Spicy notes / Coffee / Cocoa / Fruit-forward / Persistent,,,,Contains sulfites,13.0,,,,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/adeit19_anv800.png,https://www.vinissimus.com/en/wine/adernats-instint/,2019.0,
Viña Gómez Nubes de Altura Vidueño 2019,£20.20,,White wine,Valle de Güímar ,"Malvasia, Marmajuelo, Malvasía Negra, Verdello, Muscat of Alexandria, Listán Blanco",Bodegas Viña Gómez,,,Straw yellow / Bright,Complex / Fruit aromas / Varietal notes,Rounded / Balanced acidity / Balanced / Smooth / Persistent / Complex,,Serve between 7ºC and 9ºC,,Contains sulfites,12.5,,,,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/vgvav19_anv800.png,https://www.vinissimus.com/en/wine/vina-gomez-nubes-de-altura-vidueno/,2019.0,
Mas Patiràs 2019,£15.70,,Red wine,Empordà ,"Syrah, Garnacha",Celler Mas Patiràs,,,,,,,,,Contains sulfites,14.0,"3,000  bottles",,Bottled unfined and unfiltered,,,,,,Organic,18 years,Clay loam,Mediterranean,North,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/msptr19_anv800.png,https://www.vinissimus.com/en/wine/mas-patiras/,2019.0,
Val de Reyes Blanco Semi Dulce 2016,£11.40,,White wine,Castile and León ,"Albillo, Muscat of Alexandria",Bodegas Fariña,"Founded in 1942 by Salvador Fariña, Bodegas Fariña is one of the principal names behind the creation of the DO Toro appellation. Following in the footsteps of his father, Salvador, the current owner Manuel Fariña has maintained the family character and the same enthusiasm and passion for winemaking. Their wines are a splendid combination of modern techniques and traditional methods from the Toro region.

Among the excellent wines they produce is a range of wines named after...",,Greenish yellow / Pale,Complex / Varietal aromas / Orange peel / Honey,Flavoursome / Sweet / Fresh / Crunchy,,,,Contains sulfites,13.5,,,,,,,,,,,,,,,5.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/vrybl16_anv800.png,https://www.vinissimus.com/en/wine/val-de-reyes-blanco-semi-dulce/,2016.0,
Secret 2015,£20.35,,Red wine,Montsant ,Garnacha,Vinyes d'en Gabriel,,,,,,,,,Contains sulfites,14.0,,,Stainless steel,8 months,Bottled unfined and unfiltered,,,,,45 years,Calcareous-clay / Gravel surface / Pebbles,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/secre15_anv800.png,https://www.vinissimus.com/en/wine/secret/,2015.0,
Conxita Solergibert 2002,£38.45,,Red wine,Pla de Bages ,Merlot,Celler Solergibert,,,Garnet / Quite opaque,Higly aromatic / Complex / Ageing notes / Ripe fruit / Balsamic aromas,Structured / Ripe tannins / Long finish / Rounded,,,,Contains sulfites,13.5,,,24 months,American oak,,,,,,,,,,,0.0,0,,,2002.0,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/sgcxt02_anv800.png,https://www.vinissimus.com/en/wine/conxita-solergibert/,2002.0,
Pilas Bonas 2018,£10.70,,White wine,Pago Casa del Blanco ,"Chardonnay, Sauvignon Blanc",Pago Casa del Blanco,"Pago Casa del Blanco is a family-owned winery, with over 150 years of history, and an albeit brief but intensely active wine-growing tradition that in 2010 managed to achieve the highest category in wine classification: the Protected Denomination of Origin Pago Casa del Blanco.
The Vinos de Pago certification requires considerable effort and compliance with some very strict quality regulations, but it ratifies and guarantees the singularity and personality of wines originating...",,Yellow / Clean / Bright,Fresh / Higly aromatic / Fruit aromas / White fruit / Pear / Pineapple / Hay / Smoky notes / Dried figs,Oily / Unctuous / Good acidity / Balanced / Slightly bitter / Subtle / Fruit-forward,,,,Contains sulfites,13.0,,,,,,,,,,,,,,,5.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/pibon18_anv800.png,https://www.vinissimus.com/en/wine/pilas-bonas/,2018.0,
Bàrbara Forés El Templari 2018,£19.45,,Red wine,Terra Alta ,Morenillo,Celler Bàrbara Forés ,"El Templari is the result of years working with and getting to know the Morenillo variety, firstly blending it with the Grenache as a partner, before taking the leap to produce a single-variety wine. Bottled for the first time in 2018 by the Bàrbara Forés winery, the new El Templari expresses all the qualities this interesting variety can offer. Ageing in clay, rather than wood, rounds the wine and emphasizes its mineral and fruity aspects. The work of local cellars such as Bàrbara Forés in Gandesa or Celler Piñol in Batea since the end of the 1990s has saved this late-ripening variety from disappearing as many feared it would. Thanks to their efforts, Morenillo has finally been classified this year as one of the authorized grapes under the DO Terra Alta label.
As the winery explains, they have recovered the traditional red colour of some Catalan wines with El Templari. Less dark than more burgundy-coloured wines, it has a wonderfully lively crimson colour. Clear, honest aromas of soil, blackberries, and carob beans delight the nose, with hints of peach and mandarins appearing after a short time in the glass. In the mouth, pleasant lactic sensations blend with the acidity of red fruits of the forest and elegant, lightly bitter vegetal touches. With liqueurish hints, it is both an intense but gentle wine, juicy and tannic. Its lingering floral, saline and freshly soothing aftertaste is slow to fade and together with its wonderful balance makes it hard to put down after the first sip. A wine which does not call for a special moment or event; created from the heart and brimming with typicity and character, it is an ideal drink for enjoying any time, any place.
What is more, if you can decant it and leave it to stand for a couple of hours it improves even more so. Serving it a couple of degrees cooler than usual for red wines will highlight the wilder and more floral side to its profile.",,Picota cherry red / Intense,Fruit aromas / Ripe red fruit / Undergrowth notes,Balanced / Good acidity / Ripe fruit / Silky tannins,,Serve between 14ºC and 16ºC,,Contains sulfites,13.5,,,Continental with Mediterranean influence,,,,,,,,,,,,4.2,6,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/templ18_anv800.png,https://www.vinissimus.com/en/wine/barbara-fores-el-templari/,2018.0,
Pardas Rupestris Blanc 2021,£13.40,,White wine,Penedès ,"Xarel·lo, Xarel·lo Vermell, Malvasia, Macabeo",Celler Pardas,"Can Comas is the vine-growing estate of Celler Pardas in Torrelavit in the Baix Penedés region. Ramon Parera, who owns the estate, has concentrated his efforts on working in the vineyard and reclaiming the area’s indigenous varieties, such as Sumoll, Monastrell and Xarel.lo. Undergoing little intervention both in the vineyard and the winery, the wine collection comes under the Pardas brand name.
It is impressive to see at first hand the meticulously cared for, neat and tidy installations where fermentation and ageing take place; it is all reminiscent of an operating theatre, without a speck of dust.
After several successful years marketing a biodynamically grown Xarel·lo, the company decided to bring out a second wine made from this variety, Rupestris, and it really merits our consideration due to the impeccable work that has been carried out.
The wine appears delicate on the nose, offering delightful scents of sage, rosemary and ginger; with a bit of time, notes of passion fruit emerge, typical of Sauvignons. There’s a delicious crisp freshness which gives Rupestris fullness and definite dynamism.
Aged on its lees for 4 months, with periodic batonnages.","A family-run winery located in the Torrelavit district, in the Alt Penedès, with the two young and enterprising owners taking care of the whole production process, a combination of viticulture and agriculture.
Their concept of dry farming has led them to treat the vineyards austerely, without tilling or applying fertilisers, leaving it up to the crops and the vine’s capacity for adapting to the land to be the true protagonists when it comes to fruit expression.
As regards the...",,,,,Serve between 6ºC and 8ºC,,Contains sulfites,14.0,,,,,,,,,,,,,,,4.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/rupes21_anv800.png,https://www.vinissimus.com/en/wine/pardas-rupestris-blanc/,2021.0,
De Muller Dom Juan Fort Solera 1865,£55.40,,Vino rancio,Priorat ,"Muscat of Alexandria, White Grenache, Garnacha",De Muller,"A winery with a history, founded in 1851 by Don Augusto de Muller and Ruinart de Brimont, a wine producer originally from Alsace, and supplier to the Vatican of altar wines from the time of Pope Pius X until Pope John XXIII.
Since 1995, De Muller has belonged to the Martorell family and makes an extensive range of high quality wines that come under three Catalan denominations: Tarragona, Terra Alta (where the company continues to make the renowned altar wine which made it...",,,,,,,,Contains sulfites,21.0,,,,,,,,,,,,,,,1.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/mdomj65_anv800.png,https://www.vinissimus.com/en/wine/de-muller-dom-juan-fort-solera/,1865.0,
Gran Angular 2011,£20.10,,Red wine,Penedès ,Cabernet Franc,Mas Comtal,"Gran Angular is a new project set up by Mas Comtal aiming to develop a new line of microvinifications on an experimental basis, with the intention of producing and offering singular wines.
Aged for 10 months in new French oak barrels.","Albert and Joan Mila decided in the early 1980s to establish their own winery in the same house where they grew up and came to love the world of viticulture.
Located in the most easterly part of the Penedès region, at the foot of the Ordal and Garraf mountain ranges, influenced by the sea and protected to the north by the beautiful massif of Montserrat, Mas Comtal enjoys excellent conditions for vine-growing: 40 ha. of vineyards planted with the native variety Xarel.lo,...",,,,,Serve between 16ºC and 17ºC,,Contains sulfites,14.0,,,,,,,,,Organic,,,,,,0.0,0,,91.0,2011.0,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/mcgag11_anv800.png,https://www.vinissimus.com/en/wine/gran-angular/,2011.0,
Maquinón 2017,£23.60,,Red wine,Priorat ,Garnacha,Casa Rojo,,,Picota cherry red / Intense / Clean / Bright,Higly aromatic / Floral scents / Fruit aromas / Raspberry jam / Smoky notes,Concentrated / With body / Fresh / Elegant / Mineral notes / Ripe fruit / Rich,,,,Contains sulfites,14.5,,,Wood,3 months,French oak,,,,Organic,Llicorella,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/mqinn17_anv800.png,https://www.vinissimus.com/en/wine/maquinon/,2017.0,
Ababol El Tinto 2009,£6.70,,Red wine,Castile and León ,"Tempranillo, Cabernet Sauvignon",Bodegas Ababol,"Made mainly with Tempranillo grape (and 5% Cabernet Sauvignon), Ababol is a wine that surprises young for a wine without oak aging it presents smoky, ... pepper, and short maceration due to applied in their development process. A young red wine with character!",,,,,,16ºC,,Contains sulfites,,,,,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/abati09_anv800.png,https://www.vinissimus.com/en/wine/ababol-el-tinto/,2009.0,
Pater 2018,£32.30,,Red wine,Montsant ,Garnacha,Celler Ficaria Vins,,,Picota cherry red / Intense,Fresh / Fruit aromas / Red fruit / Black fruit / Mineral notes / Balsamic notes / Chocolate,Structured / Intense / Fruit-forward / Menthol notes / Ageing notes / Mineral notes,,,,Contains sulfites,15.0,,,,,,,,,Organic,,,,,,5.0,3,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/pater18_anv800.png,https://www.vinissimus.com/en/wine/pater/,2018.0,
Tras da Canda Caiño Blanco 2016,£37.15,,White wine,Rías Baixas ,Caiño Blanco,Bodegas y Viñedos Rodrigo Méndez,,,,,,,,,Contains sulfites,11.0,666  bottles,,Wood,12 months,,,,,,6 years,Granit / Sand,,,,0.0,0,93,,2016.0,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/tcdcc16_anv800.png,https://www.vinissimus.com/en/wine/tras-da-canda-caino-blanco/,2016.0,93.0
Cueva del Monge Blanco 2016,£21.50,,White wine,Rioja ,"Viura, Malvasia, White Grenache, Muscat of Alexandria",Vinícola Real,Partially aged for 45 days in new French and American oak barrels. Subsequently in barrel for 4 months.,"Founded in 1989 by brothers, Miguel Ángel and Rubén Rodríguez, Vinícola Real is a small Rioja winery specialising in the production of high quality wines and single vineyard estate wines.
Located near the chapel of Santa Catalina, the only part of the now ruined monastery of San Martín de Albelda which has survived, this winery endures as an example of traditional viticulture, with low yields per hectare, organic fertilisers, no use of chemical treatments and grapes selected...",Deep yellow / Greenish glints,Fruit aromas / Toasty notes / Lactic notes / Pineapple / Mango / Banana,Long / Elegant / Toasty notes / Balanced / Crunchy / Well-integrated wood / Fruit-forward,,,,Contains sulfites,13.0,,,,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/cuemb16_anv800.png,https://www.vinissimus.com/en/wine/cueva-del-monge-blanco/,2016.0,
Don Pedro de Soutomaior Neve Carbónica 2019,£19.40,,White wine,Rías Baixas ,Albariño,Adegas Galegas,"Adegas Galegas winery was founded in 1995 and is located in the southwest of Galicia, in the Rias Baixas area of origin, namely the O Condado and O Rosal sub-districts. Their main goal has always been to unite and convey the richness of the region's vineyards through the quality of their wines.
At the small Pazo de Almuña winery, they experiment with different grape varieties to produce unique wines such as Veigadares, known as the white of whites, Gran Veigadares or the...",,Straw yellow / Lemony glints / Bright / Clean,Fruit aromas / Citrus fruits / Lime / Pineapple / Floral scents / White flowers / Full bodied / Fresh,Fresh / Balanced / Fruit-forward / Full / Unctuous / Long finish / Slightly bitter / Pleasant,,12ºC,,Contains sulfites,12.5,,,,,,,,,,,,,,,5.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/dpsnv19_anv800.png,https://www.vinissimus.com/en/wine/don-pedro-de-soutomaior-neve-carbonica/,2019.0,
La Bota de Pedro Ximénez 76,£58.10,,Natural sweet wine,Jerez-Manzanilla ,Pedro Ximénez,Equipo Navazos,,,,,,,Serve between 12ºC and 16ºC,,Contains sulfites,16.0,"1,800  bottles",,,,,,,,,,,,,,5.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/botpx76_anv800.png,https://www.vinissimus.com/en/wine/la-bota-de-pedro-ximenez-76/,,
Tres Lunas Tinto 2015,£14.30,,Red wine,Toro ,Tinta de Toro,Bodegas Gil Luna,,,Picota cherry red / Dark / Opaque / Clean / Bright,Higly aromatic / Fruit aromas / Ripe fruit / Fruits of the forest / Cassis / Spicy notes / Vanilla / Undergrowth notes / Oak wood / Coffee / Chocolate,Harmonious / Sweet tannins / Ripe fruit / Spicy notes / Ageing notes / Toasty notes / Well-integrated wood / Cassis / Pleasant finish / Long / Persistent,,Serve between 15ºC and 17ºC,,Contains sulfites,14.5,,,,,,,,,Organic,,,,,,3.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/tlntn15_anv800.png,https://www.vinissimus.com/en/wine/tres-lunas-tinto/,2015.0,
Milvus Edición Especial 2017,£28.25,,Red wine,Ribera del Duero ,Tempranillo,Vegazar-Cooperativa San Andrés,,,Picota cherry red / Deep / Quite opaque,Higly aromatic / Complex / Mineral / Black fruits / Vanilla,Characterful / Elegant / Persistent,,Serve between 16ºC and 18ºC,,Contains sulfites,14.0,,,10 months,French oak,,,,,,100 years,Continental with Mediterranean influence,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/miled17_anv800.png,https://www.vinissimus.com/en/wine/milvus-edicion-especial/,2017.0,
Alta Alella Mirgin Exeo Evolució+ 2005,£90.80,,Cava,DO Cava ,"Pansa Blanca, Chardonnay",Alta Alella,"The family-run project of Josep Maria Pujol-Busquets and Cristina Guillén. After travelling half way round the world making wine, from Allela to the Penedès, spending time in the Priorat, La Rioja and the Ribera del Duero, and also in France and Italy as technical director for the Martini Group, Josep Maria Pujol-Busquets managed to reconcile work and family with his passion for wine at his new estate of Can Genís (1991), where “transparent” wines are made: wines which reflect...",,,,,,,,Contains sulfites,12.0,,,60 months,,,,,,Organic,Sablon,Mediterranean,,,,0.0,0,,96.0,2005.0,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/aaeev05_anv800.png,https://www.vinissimus.com/en/cava/aa-mirgin-exeo-evolucio/,2005.0,
Finca Antigua Cabernet 2018,£10.00,,Red wine,La Mancha ,Cabernet Sauvignon,Finca Antigua,"In 2003, the Martínez Bujanda family, owners of the winery group which includes Rioja-based Finca Valpiedra, among others, unveiled their new project in the La Mancha region, a vast estate of 1,000 hectares, located within the provinces of Cuenca and Toledo. 421 of these hectares encompass vineyards planted with mainly Tempranillo, Cabernet Sauvignon, Merlot and Syrah, on a loam soil with a high calcium carbonate content and poor in organic matter, lying at an altitude of 900...",,Picota cherry red / Intense / Clean / Bright / Bluish glints / Abundant tears,Varietal notes / Balsamic aromas / Mineral / Lactic notes / Undergrowth notes / Fresh,Robust / Structured / With volume / Fresh / Ageing notes / Well-integrated wood / Long / Persistent,,Serve between 15ºC and 17ºC,,Contains sulfites,13.0,,,9 months,American oak,,,,,,,,,,,3.0,2,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/facbt18_anv800.png,https://www.vinissimus.com/en/wine/finca-antigua-cabernet/,2018.0,
Descarte 2015,£26.65,,Red wine,Toro ,Tinta de Toro,Bodegas Elías Mora ,"As if foreseeing the victory of their later success, Bodegas Elías Mora was founded in 2000 by 'two Victorias', Victoria Pariente and Victoria Benavides. Although they have maintained the name of the previous owner of the vineyards, Elías Mora, the winery is currently run by Victoria Benavides, one of the most prestigious women in the world of Spanish wine. An excellent oenologist and agricultural engineer, she has carried out pioneering work in the...",,Purplish red / Violet glints,Complex / Fruit aromas / Ripe red fruit / Roast notes / Fresh,Flavoursome / Concentrated / Fruit-forward / Powerful / Intense / Persistent,,Serve between 15ºC and 17ºC,,Contains sulfites,14.5,,,,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/desca15_anv800.png,https://www.vinissimus.com/en/wine/descarte/,2015.0,
Siete Pasos El Figura 2019,£11.65,,Red wine,Rioja ,Tempranillo,Siete Pasos,,,Picota cherry red / Violet rim,Red fruit / Fresh,Fresh / Fruit-forward / Intense,,Serve between 14ºC and 16ºC,,Contains sulfites,14.0,,,Continental with Mediterranean influence,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/spfig19_anv800.png,https://www.vinissimus.com/en/wine/siete-pasos-el-figura/,2019.0,
Volcán Tempranillo 2014,£10.40,,Red wine,Calatayud ,Tempranillo,Bodegas y Viñedos del Jalón,,,Picota cherry red / Opaque / Violet glints / Clean / Bright,Higly aromatic / Fruit aromas / Berries / Redcurrants / Strawberries / Raspberry / Complex / Spicy notes / Cocoa / Chocolate,Vivacious / With body / Spicy notes / Well-integrated tannins / Balanced / Pleasant finish / Long,,Serve between 16ºC and 18ºC,,Contains sulfites,13.5,,,,,,,,,,,,,,,4.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/volca14_anv800.png,https://www.vinissimus.com/en/wine/volcan-tempranillo/,2014.0,
Viña Bujanda Crianza 2018,£10.75,,Red wine,Rioja ,Tempranillo,Viña Bujanda,,,Purplish red / Bluish glints / Thick tears,Fruit aromas / Black fruit / Blueberries / Blackberries / Spicy notes / Clove / Cinnamon / Oak wood / Blonde tobacco / Balsamic notes / Elegant / Complex,Full / Fresh / Silky / With volume / Structured / Long finish / Aromatic,,Serve between 15ºC and 17ºC,,Contains sulfites,13.5,,,12 months,American oak,,,,,,,,,,,5.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/vbcrz18_anv800.png,https://www.vinissimus.com/en/wine/vina-bujanda-crianza/,2018.0,
Los Locos de la Bahia Gartxo,£17.00,,White wine,Wines without GI ,"White Grenache, Hondarribi Zuri",Crusoe Treasure,,,Straw yellow / Intense / Greenish glints,Powerful / Clean / Fruity / Complex / Fruit aromas / White fruit / Pear / Melon / Apple / Herbaceous notes / Sweet notes / Seductive / Caramel / Honey / Custard / Puff pastry,Balanced acidity / Long / Enveloping / Unctuous / Glyceric / Fruit notes / Citrus notes / Ripe fruit,,,,Contains sulfites,12.5,,,,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/lgartxo_anv800.png,https://www.vinissimus.com/en/wine/los-locos-de-la-bahia-gartxo/,,
Can Ràfols dels Caus El Rocallís 2017,£42.95,,White wine,Penedès ,Incrocio Manzoni,Can Ràfols dels Caus,,,Yellow / Golden glints / Bright / Clean,Fresh / Floral scents / Jasmine / Fruit aromas / Exotic fruit,Creamy / Balsamic notes / Honey / Citrus notes / Dried fruits and nuts / Almond / Long,,12ºC,,Contains sulfites,13.0,,,,,,,,,,,,,,,4.5,2,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/rocal17_anv800.png,https://www.vinissimus.com/en/wine/can-rafols-dels-caus-el-rocallis/,2017.0,
Ysios Las Naves 2016,£156.05,,Red wine,Rioja ,"Tempranillo, Garnacha, Graciano, Viura",Bodegas Ysios,"Made from the winery's oldest vines, from the late 19th century, the rich, deep and complex Ysios Las Naves is only produced in years when the ideal conditions come together to create its special character. An authentic homage to the historic heritage of the Rioja Alavesa region.","Bodegas Ysios is located in Rioja Alavesa, at the foot of the Sierra de Cantabria mountain range, and lays claim to buildings designed by the architect Santiago Calatrava, with their functional and contemporary aspects entirely focused on wine production.

Dedicated exclusively to the making of Reserva wines and the most singular and select coupages, Ysios works to the highest quality standards utilising very old, 100% Tempranillo vines. The high levels at which the vineyards...",Picota cherry red / Intense / Dark / Bright,Complex / Expressive / Wild fruits / Red fruit / Mineral notes / Floral scents / Spicy notes / Toasty notes,Elegant / Full-bodied / Dense / Forest fruits / Spicy notes / Tasty tannins / Aromatic herbs / Long finish / Persistent,,Serve between 16ºC and 18ºC,,Contains sulfites,15.0,,,French oak,,,,,,,,,,,,0.0,0,,95.0,2016.0,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/ysnav16_anv800.png,https://www.vinissimus.com/en/wine/ysios-las-naves/,2016.0,
La Máquina 2010,£23.05,,Red wine,Yecla ,Monastrell,Daniel Alba Bodegas,"Interesting project of Daniel Giménez Alba, in the DO Yecla, and a wine that, already with its second vintage (2009) has stood out with great successes in several international competitions. Wine from garage, limited production, a wine to know and follow.",,,,,,Serve between 16ºC and 18ºC,,Contains sulfites,15.0,,,,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/maqui10_anv800.png,https://www.vinissimus.com/en/wine/la-maquina/,2010.0,
Albiker 2021,£11.35,,Red wine,Rioja ,"Tempranillo, Viura",Bodegas Altún,"Produced using grapes harvested manually and undergoes carbonic maceration with whole grape clusters, resulting in this fruit-charged and fresh young wine.","José Antonio Martínez, a man tireless in his efforts and a complete perfectionist, began to choose vineyards for making his own wines in 1994, and since then he has been continually innovating and experimenting on the land, working on the principle that you can only make the best wine from the best grapes. His philosophy combines ancient expertise with the most modern technology. This results in wines of excellent quality, marketed under the names of Altún, Everest and Albiker...",,,,,14ºC,,Contains sulfites,13.5,,,,,,,,,,,,,,,5.0,3,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/albik21_anv800.png,https://www.vinissimus.com/en/wine/albiker/,2021.0,
Las Musas 2020,£17.05,,Oak-aged Rosé Wine,Cigales ,"Garnacha, Tempranillo, Verdejo, Albillo",Finca Museum Viñedos y Bodegas,"Finca Museum was the first winery set up by the winemaking group Barón de Ley outside of its home territory of La Rioja. Committed to expanding into new wine regions offering a good relationship between quality and price, the group decided to open a new winery in Cigales first, starting out with a unique and spectacular vineyard where 100-year-old vines thrive in pebble-covered soils to produce perfectly ripe fruit. Successfully expanding, the winery now...",,Pale pink,Moderately aromatic / Aromatic herbs / White flowers / Stone fruit / Fresh lees,Full / Refreshing acidity / Long / Complex,,Serve between 8ºC and 10ºC,,Contains sulfites,13.5,,,3 months,French oak,,,,,,85 years,Gravel surface / Sand / Silt,Continental,2.00 hectares,,4.5,2,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/musas20_anv800.png,https://www.vinissimus.com/en/wine/las-musas/,2020.0,
Abril de Azul y Garanza 2013,£11.60,,Red wine,Navarre ,"Tempranillo, Cabernet Sauvignon",Azul y Garanza,,,,,,,Serve between 14ºC and 16ºC,,Contains sulfites,13.5,,,,,,,,,Organic,,,,,,4.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/agaro13_anv800.png,https://www.vinissimus.com/en/wine/abril-de-azul-y-garanza/,2013.0,
